"Canal","27"
"Eukaryote","4436"
"VideoGame","2435"
"PeriodicalLiterature","686"
"ChemicalSubstance","17"
"Olympics","106"
"Saint","282"
"Bird","2085"
"Infrastructure","1225"
"Company","3670"
"HockeyTeam","44"
"Award","131"
"RugbyPlayer","3"
"Airline","525"
"Building","1173"
"BritishRoyalty","149"
"OrganisationMember","30"
"Restaurant","1"
"PopulatedPlace","22019"
"Athlete","1147"
"EducationalInstitution","1179"
"Drug","17"
"MilitaryUnit","567"
"Magazine","310"
"Architect","16"
"BaseballLeague","21"
"President","14"
"Newspaper","223"
"Volcano","62"
"IceHockeyLeague","4"
"River","64"
"IceHockeyPlayer","6"
"Legislature","73"
"TelevisionStation","130"
"Agent","14653"
"HistoricPlace","22"
"Station","78"
"SoccerManager","20"
"SpaceMission","7"
"Sport","81"
"Species","4438"
"Non-ProfitOrganisation","13"
"SportsTeamMember","30"
"Stadium","166"
"Hospital","271"
"Actor","12"
"MilitaryPerson","72"
"Monarch","342"
"Criminal","5"
"LegalCase","15"
"Song","24"
"BroadcastNetwork","37"
"Game","16"
"BodyOfWater","568"
"MusicalArtist","417"
"Town","243"
"School","77"
"Politician","231"
"University","1082"
"Work","7616"
"Cleric","466"
"ArchitecturalStructure","2411"
"Race","1"
"Place","26806"
"Wrestler","44"
"Senator","9"
"SportsLeague","46"
"AmericanFootballLeague","3"
"Stream","91"
"ChemicalCompound","17"
"MusicFestival","3"
"Fish","130"
"WomensTennisAssociationTournament","2"
"Event","614"
"BaseballPlayer","865"
"Currency","880"
"Scientist","569"
"NaturalPlace","2220"
"ChristianBishop","184"
"GridironFootballPlayer","48"
"MemberOfParliament","16"
"Mayor","80"
"RouteOfTransportation","198"
"GovernmentAgency","47"
"Mountain","1537"
"FormulaOneRacer","5"
"HistoricBuilding","10"
"WorldHeritageSite","22"
"FictionalCharacter","142"
"Book","458"
"Animal","2961"
"Congressman","14"
"Holiday","25"
"TennisPlayer","4"
"Website","38"
"Play","28"
"Boxer","10"
"ProgrammingLanguage","16"
"Insect","64"
"AnatomicalStructure","35"
"WrestlingEvent","11"
"Aircraft","77"
"Royalty","153"
"Moss","1"
"Device","14"
"Organisation","7137"
"ProtectedArea","59"
"Language","181"
"TelevisionEpisode","14"
"AmericanFootballPlayer","39"
"Person","7512"
"Broadcaster","291"
"SoccerPlayer","18"
"OfficeHolder","406"
"FloweringPlant","61"
"Road","92"
"Software","2520"
"TelevisionShow","414"
"ShoppingMall","5"
"Sales","7"
"College","8"
"Settlement","9879"
"Album","460"
"City","5034"
"MilitaryConflict","432"
"Museum","312"
"Automobile","16"
"Writer","429"
"Lake","477"
"Philosopher","60"
"AdministrativeRegion","1260"
"Convention","2"
"SportsEvent","123"
"MeanOfTransportation","127"
"PersonFunction","717"
"PoliticalParty","153"
"Plant","1472"
"RecordLabel","41"
"Cricketer","21"
"Food","8"
"GolfPlayer","84"
"Band","335"
"Island","224"
"Comedian","71"
"MusicalWork","752"
"Weapon","10"
"ComicsCharacter","69"
"MartialArtist","10"
"WrittenWork","1176"
"Artist","978"
"Country","9727"
"Village","18"
"SportsTeam","563"
"Disease","78"
"Governor","21"
"RadioStation","124"
"Airport","949"
"EthnicGroup","348"
"Activity","97"
"MusicGenre","235"
"Mammal","421"
"SupremeCourtOfTheUnitedStatesCase","15"
"Musical","67"
"Bridge","12"
"SoccerClub","476"
"Brain","1"
"Single","268"
"Beverage","3"
"Arachnid","3"
"Election","18"
"Year","21"
"Ship","33"
"ComicsCreator","28"
"Film","2635"
"Judge","10"
"Amphibian","83"
"Rocket","1"
"WineRegion","1"
"Conifer","56"
"Park","13"
"BasketballTeam","4"
"Crustacean","10"
"Muscle","1"
"Planet","9"
"AustralianRulesFootballPlayer","1"
"Hotel","7"
"FilmFestival","8"
"MountainRange","50"
"CelestialBody","9"
"Library","12"
"RailwayLine","75"
"AdultActor","4"
"Astronaut","3"
"AmericanFootballTeam","39"
"PublicTransitSystem","19"
"Colour","8"
"TradeUnion","3"
"Continent","929"
"CanadianFootballTeam","13"
"Theatre","4"
"BasketballPlayer","14"
"SkiArea","2"
"MixedMartialArtsEvent","3"
"ClubMoss","1"
"Fern","7"
"PrimeMinister","14"
"Mollusca","18"
"AcademicJournal","153"
"Reptile","117"
"Cave","1"
"BasketballLeague","5"
"LunarCrater","1"
"Bone","18"
"SnookerPlayer","2"
"Biomolecule","3"
"TennisLeague","1"
"Protein","2"
"Chancellor","1"
"FigureSkater","2"
"PokerPlayer","2"
"CollegeCoach","4"
"Artery","2"
"RugbyLeague","4"
"Ambassador","1"
"Valley","1"
"Model","1"
"Grape","1"
"Cyclist","1"
"SportsClub","15"
"Comic","4"
"CityDistrict","4"
"Location","28"
"Group","10"
"AustralianFootballTeam","2"
"HumanGene","1"
"Gene","1"
"Region","3"
"InformationAppliance","1"
"TopicalConcept","3"
"Genre","3"
"Canal","27"
"Eukaryote","4436"
"VideoGame","2435"
"PeriodicalLiterature","721"
"ChemicalSubstance","18"
"Olympics","106"
"Saint","282"
"Bird","2085"
"Infrastructure","1225"
"Company","3673"
"HockeyTeam","44"
"Award","132"
"RugbyPlayer","3"
"Airline","525"
"Building","1174"
"BritishRoyalty","149"
"OrganisationMember","30"
"Restaurant","1"
"PopulatedPlace","22033"
"Athlete","1147"
"EducationalInstitution","1182"
"Drug","17"
"MilitaryUnit","567"
"Magazine","317"
"Architect","16"
"BaseballLeague","21"
"President","14"
"Newspaper","249"
"Volcano","62"
"IceHockeyLeague","4"
"River","65"
"IceHockeyPlayer","6"
"Legislature","73"
"TelevisionStation","134"
"Agent","14710"
"HistoricPlace","22"
"Station","78"
"SoccerManager","20"
"SpaceMission","7"
"Sport","81"
"Species","4438"
"Non-ProfitOrganisation","13"
"SportsTeamMember","30"
"Stadium","166"
"Hospital","271"
"Actor","12"
"MilitaryPerson","72"
"Monarch","342"
"Criminal","5"
"LegalCase","15"
"Song","24"
"BroadcastNetwork","37"
"Game","16"
"BodyOfWater","569"
"MusicalArtist","418"
"Town","243"
"School","78"
"Politician","232"
"University","1084"
"Work","7662"
"Cleric","466"
"ArchitecturalStructure","2412"
"Race","1"
"Place","26822"
"Wrestler","44"
"Senator","9"
"SportsLeague","46"
"AmericanFootballLeague","3"
"Stream","92"
"ChemicalCompound","18"
"MusicFestival","3"
"Fish","130"
"WomensTennisAssociationTournament","2"
"Event","614"
"BaseballPlayer","865"
"Currency","880"
"Scientist","569"
"NaturalPlace","2221"
"ChristianBishop","184"
"GridironFootballPlayer","48"
"MemberOfParliament","16"
"Mayor","80"
"RouteOfTransportation","198"
"GovernmentAgency","47"
"Mountain","1537"
"FormulaOneRacer","5"
"HistoricBuilding","10"
"WorldHeritageSite","22"
"FictionalCharacter","143"
"Book","458"
"Animal","2961"
"Congressman","14"
